ID,F30,F32,F00,F01,F11
439930,RPUNMLTJRHHFFBC48CA,C,中正區,4,3
439931,RPVNMLNJRHHFFBC97CA,C,中正區,3,3
439932,RPRNMLRLRHHFFBC18CA,C,中正區,4,3
439933,RPPOMLRLRHHFFBC08CA,C,中正區,4,3
439934,RPXNMLPLRHHFFBC58CA,C,中正區,4,9
439935,RPPNMLLJIIHFFBC98CA,C,中正區,3,2
439936,RPQOMLRKRHHFFBC08CA,C,信義區,4,9
439937,RPWNMLLLRHHFFBC08CA,C,仁愛區,3,7
439938,RPWNMLTJRHHFFBC68CA,C,中正區,2,4
439939,SPWNMLTJRHHFFBC78CA,C,中正區,2,4
439940,RPXNMLTJRHHFFBC78CA,C,中正區,2,4
439941,RPQPMLNKRHHFFBC77CA,C,仁愛區,3,9
439942,RPTNMLMJIIHFFCC96CA,C,七堵區,4,2
439943,RPWNMLKKRHHFFCC97CA,C,七堵區,3,9
439944,RPTNMLPJRHHFFCC08CA,C,安樂區,3,3
439945,RPVNMLLLRHHFFCC08CA,C,安樂區,3,3
439946,RPRNMLTKRHHFFCC38CA,C,七堵區,3,8
439947,RPWNMLOKRHHFFCC38CA,C,七堵區,3,8
439948,RPPNMLPKRHHFFCC77CA,C,七堵區,3,2
439949,RPSOMLPJJIHFFCC37CA,C,七堵區,4,9
439950,RPWNMLOJRHHFFCC38DA,C,安樂區,3,2
439951,RPSOMLNKRHHFFCC08DA,C,安樂區,3,2
439952,RPOOMLLLRHHFFBC47DA,C,信義區,3,2
439953,RPRNMLQLRHHFFBC18DA,C,中正區,3,2
439954,RPPNMLPLRHHFFBC97EA,C,中正區,4,3
439955,RPQNMLOKRHHFFCC97EA,C,安樂區,3,2
439956,RPVNMLSKRHHFFCC88EA,C,暖暖區,4,3
439957,RPUNMLQJRHHFFCC48EA,C,安樂區,3,2
439958,RPUNMLTKRHHFFBC68DA,C,信義區,3,2
439959,RPRNMLMJIIHFFBC76DA,C,仁愛區,3,2
439960,RPXNMLMJIIHFFBC37DA,C,仁愛區,3,2
439961,RPOOMLLKRHHFFBC37DA,C,信義區,1,4
439962,RPQNMLPKRHHFFCC87CA,C,七堵區,3,2
439963,RPVPMLMKRHHFFCC28CA,C,七堵區,2,4
439964,RPQNMLSKRHHFFCC18CA,C,安樂區,3,2
439965,RPWNMLKLRHHFFCC08CA,C,安樂區,3,3
439966,RPPNMLPJRHHFFCC67CA,C,七堵區,3,9
439967,RPQOMLQJRHHFFCC97CA,C,安樂區,3,3
439968,RPUNMLQJRHHFFCC28CA,C,七堵區,3,2
439969,RPUNMLMJIIHFFBC96CA,C,中正區,4,3
439970,RPSOMLQLRHHFFBC28CA,C,中正區,3,3
439971,RPWNMLRLRHHFFBC68CA,C,中正區,3,3
439972,RPOOMLSKRHHFFBC97CA,C,中正區,4,3
439973,RPPOMLSKRHHFFBC08CA,C,中正區,4,3
439974,RPQOMLSKRHHFFBC18CA,C,中正區,4,3
439975,RPPNMLLKRHHFFBC27CA,C,信義區,3,2
439976,RPXNMLKKRHHFFCC08CA,C,安樂區,3,2
439977,RPQNMLOKRHHFFCC77CA,C,安樂區,3,9
439978,RPVPMLPLRHHFFCC68CA,C,七堵區,3,2
439979,RPTNMLPLRHHFFCC28CA,C,七堵區,1,4
439980,RPUNMLPLRHHFFCC38CA,C,七堵區,1,4
439981,RPOOMLMLIIHFFCC76CA,C,七堵區,1,4
439982,RPWOMLOKRHHFFBC48DA,C,中正區,3,7
439983,RPVNMLPLRHHFFBC48DA,C,信義區,3,8
439984,RPOOMLRLRHHFFBC08DA,C,仁愛區,3,3
439985,RPSNMLKKRHHFFCC67DA,C,七堵區,3,3
439986,RPUNMLKKRHHFFCC87DA,C,安樂區,3,3
439987,RPWNMLQJRHHFFCC58DA,C,暖暖區,3,3
439988,RPQNMLRKRHHFFCC18DA,C,安樂區,3,2
439989,RPROMLOKRHHFFCC08DA,C,安樂區,3,2
439990,RPSNMLSLRHHFFCC58DA,C,安樂區,3,2
439991,RPXOMLNJIIHFFBC57DA,C,信義區,3,9
439992,RPSNMLRJRHHFFBC18DA,C,中正區,3,2
439993,RPSNMLOKRHHFFCC97CA,C,暖暖區,3,9
439994,RPUPMLMKRHHFFCC18CA,C,七堵區,3,2
439995,RPQNMLLKRHHFFCC47CA,C,安樂區,3,3
439996,RPRPMLMKRHHFFCC87CA,C,安樂區,3,3
439997,RPPOMLMLIIHFFCC86CA,C,七堵區,1,4
439998,RPWNMLPLRHHFFCC58CA,C,七堵區,1,4
439999,RPPOMLPLRHHFFCC97CA,C,七堵區,1,4
440000,RPWNMLQLRHHFFCC68CA,C,中山區,3,2
440001,RPRNMLLKRHHFFBC47CA,C,仁愛區,5,8
440002,RPROMLQLRHHFFBC18CA,C,仁愛區,3,3
440003,RPQNMLQLRHHFFBC97CA,C,中正區,3,2
440004,RPXNMLOJIIHFFBC47CA,C,中正區,3,3
440005,RPXNMLLKRHHFFBC18DA,C,信義區,3,5
440006,RPPOMLMJIIHFFBC66DA,C,信義區,3,8
440007,RPOOMLQLRHHFFBC97DA,C,中正區,3,3
440008,RPWPMLMKRHHFFCC48DA,C,安樂區,3,2
440009,RPQNMLLJIIHFFBC66EA,C,中正區,3,7
440010,RPPNMLNKRHHFFCC77EA,C,中山區,3,2
440011,RPXNMLOLRHHFFCC68DA,C,安樂區,3,3
440012,RPRNMLLKRHHFFCC67DA,C,安樂區,3,3
440013,RPUOMLSKRHHFFBC68DA,C,中正區,3,3
440014,RPQOMLNJIIHFFBC86DA,C,中正區,3,3
440015,RPVNMLOJIIHFFBC27CA,C,信義區,3,2
440016,RPPOMLPJIIHFFBC86CA,C,中正區,3,8
440017,RPTNMLQLRHHFFBC28CA,C,中正區,3,7
440018,RPVNMLMJIIHFFBC07CA,C,中正區,2,4
440019,RPVNMLRLRHHFFBC58CA,C,仁愛區,3,2
440020,RPTOMLSKRHHFFBC48CA,C,中正區,2,4
440021,RPPPMLPLRHHFFCC08CA,C,安樂區,3,9
